m	s	chr
0.11608245950253411	0.11416827099362403	1
0.10960077845358022	0.0968064159151345	2
0.11229212516092493	0.0997680974201513	3
0.15889812124096	0.14248620040812465	4
0.12597132077018988	0.11418241164215492	5
0.12037052855137279	0.1089194055914574	6
0.12248246226663725	0.10759574099895909	7
0.1261135649846918	0.11136432972617928	8
0.13380954727222227	0.14758059814219798	9
0.11352599282576355	0.09889069512267497	10
0.11058593681544339	0.09790873069837859	11
0.1255826357779555	0.11540545483241893	12
0.16606414424821367	0.16070277634081212	13
0.10891246696187527	0.09837290474570741	14
0.09333988002439877	0.08558554528905062	15
0.09416945358960446	0.09912871903568923	16
0.09139785072376172	0.08946929639856491	17
0.12705564763040997	0.11685960919081588	18
0.0752158956841817	0.0773411723150708	19
0.09302600521321235	0.08746235485155755	20
0.08773835251840477	0.08188110086663708	21
0.11831017675449393	0.14699954127519618	22
0.2146049610232084	0.1835520361136578	X
