m	s	chr
0.14642576015511002	0.12424067835020382	1
0.12662643635988738	0.10757974472142784	2
0.14454779708038623	0.12379328282655964	3
0.12798773661614044	0.1132679774983085	4
0.1183286790546276	0.10240899024278512	5
0.11672773327405513	0.10366278376150662	6
0.1095280557792883	0.1015437174871662	7
0.12767910091931842	0.11211784093871506	8
0.11724132444360338	0.10197277511155088	9
0.15814040240037508	0.1412982674115929	10
0.101856132255487	0.08889258450165771	11
0.13750725998621993	0.12392110491882405	12
0.15308114988589158	0.1347197209803705	13
0.18005249598114068	0.16659515003572423	14
0.13925259350817967	0.12767794398639568	15
0.17471563969496964	0.16367956714503534	16
0.10953794713595952	0.104318851006974	17
0.15104630275555792	0.14405432160904352	18
0.11207561691881976	0.1081986949281001	19
0.20434006563672677	0.18201229152874657	X
